Arthur & James,8:29 AM,8:55 AM,9:09 AM,9:35 AM,9:49 AM,10:15 AM,10:29 AM,10:55 AM,11:09 AM,11:35 AM,11:53 AM,12:23 PM,12:38 PM,1:08 PM,1:23 PM,1:53 PM,2:08 PM,2:38 PM,2:53 PM,3:23 PM,3:38 PM,4:08 PM,4:23 PM,4:53 PM,5:08 PM,5:37 PM,5:50 PM,6:16 PM,6:34 PM,7:00 PM,7:19 PM,7:45 PM,8:04 PM,8:30 PM,8:49 PM,9:15 PM,9:34 PM,10:00 PM,10:19 PM,10:45 PM
Arthur & Euclid,8:29 AM,8:55 AM,9:09 AM,9:35 AM,9:49 AM,10:15 AM,10:29 AM,10:55 AM,11:09 AM,11:35 AM,11:54 AM,12:22 PM,12:39 PM,1:07 PM,1:24 PM,1:52 PM,2:09 PM,2:37 PM,2:54 PM,3:22 PM,3:39 PM,4:07 PM,4:24 PM,4:52 PM,5:09 PM,5:36 PM,5:50 PM,6:16 PM,6:34 PM,7:00 PM,7:19 PM,7:45 PM,8:04 PM,8:30 PM,8:49 PM,9:15 PM,9:34 PM,10:00 PM,10:19 PM,10:45 PM
Arthur & Mountdale,8:30 AM,8:54 AM,9:10 AM,9:34 AM,9:50 AM,10:14 AM,10:30 AM,10:54 AM,11:10 AM,11:34 AM,11:54 AM,12:22 PM,12:39 PM,1:07 PM,1:24 PM,1:52 PM,2:09 PM,2:37 PM,2:54 PM,3:22 PM,3:39 PM,4:07 PM,4:24 PM,4:52 PM,5:09 PM,5:36 PM,5:51 PM,6:15 PM,6:35 PM,6:59 PM,7:20 PM,7:44 PM,8:05 PM,8:29 PM,8:50 PM,9:14 PM,9:35 PM,9:59 PM,10:20 PM,10:44 PM
Arthur & Riverview,8:31 AM,8:53 AM,9:11 AM,9:33 AM,9:51 AM,10:13 AM,10:31 AM,10:53 AM,11:11 AM,11:33 AM,11:55 AM,12:21 PM,12:40 PM,1:06 PM,1:25 PM,1:51 PM,2:10 PM,2:36 PM,2:55 PM,3:21 PM,3:40 PM,4:06 PM,4:25 PM,4:51 PM,5:10 PM,5:35 PM,5:52 PM,6:14 PM,6:36 PM,6:58 PM,7:21 PM,7:43 PM,8:06 PM,8:28 PM,8:51 PM,9:13 PM,9:36 PM,9:58 PM,10:21 PM,10:43 PM
Arthur & Neebing,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:52 AM,10:12 AM,10:32 AM,10:52 AM,11:12 AM,11:32 AM,11:56 AM,12:20 PM,12:41 PM,1:05 PM,1:26 PM,1:50 PM,2:11 PM,2:35 PM,2:56 PM,3:20 PM,3:41 PM,4:05 PM,4:26 PM,4:50 PM,5:11 PM,5:34 PM,5:53 PM,6:13 PM,6:37 PM,6:57 PM,7:22 PM,7:42 PM,8:07 PM,8:27 PM,8:52 PM,9:12 PM,9:37 PM,9:57 PM,10:22 PM,10:42 PM
Arthur St. Market,8:34 AM,8:50 AM,9:14 AM,9:30 AM,9:54 AM,10:10 AM,10:34 AM,10:50 AM,11:14 AM,11:30 AM,11:59 AM,12:17 PM,12:44 PM,1:02 PM,1:29 PM,1:47 PM,2:14 PM,2:32 PM,2:59 PM,3:17 PM,3:44 PM,4:02 PM,4:29 PM,4:47 PM,5:14 PM,5:31 PM,5:55 PM,6:11 PM,6:39 PM,6:55 PM,7:24 PM,7:40 PM,8:09 PM,8:25 PM,8:54 PM,9:10 PM,9:39 PM,9:55 PM,10:24 PM,10:40 PM
College Aviation Centre,8:36 AM,8:48 AM,9:16 AM,9:28 AM,9:56 AM,10:08 AM,10:36 AM,10:48 AM,11:16 AM,11:28 AM,12:01 PM,12:15 PM,12:46 PM,1:00 PM,1:31 PM,1:45 PM,2:16 PM,2:30 PM,3:01 PM,3:15 PM,3:46 PM,4:00 PM,4:31 PM,4:45 PM,5:16 PM,5:29 PM,5:57 PM,6:09 PM,6:41 PM,6:53 PM,7:26 PM,7:38 PM,8:11 PM,8:23 PM,8:56 PM,9:08 PM,9:41 PM,9:53 PM,10:26 PM,10:38 PM
Arthur & Sifton,8:37 AM,8:47 AM,9:17 AM,9:27 AM,9:57 AM,10:07 AM,10:37 AM,10:47 AM,11:17 AM,11:27 AM,12:02 PM,12:14 PM,12:47 PM,12:59 PM,1:32 PM,1:44 PM,2:17 PM,2:29 PM,3:02 PM,3:14 PM,3:47 PM,3:59 PM,4:32 PM,4:44 PM,5:17 PM,5:28 PM,5:58 PM,6:08 PM,6:42 PM,6:52 PM,7:27 PM,7:37 PM,8:12 PM,8:22 PM,8:57 PM,9:07 PM,9:42 PM,9:52 PM,10:27 PM,10:37 PM
Arthur & Willard,8:37 AM,8:47 AM,9:17 AM,9:27 AM,9:57 AM,10:07 AM,10:37 AM,10:47 AM,11:17 AM,11:27 AM,12:02 PM,12:14 PM,12:47 PM,12:59 PM,1:32 PM,1:44 PM,2:17 PM,2:29 PM,3:02 PM,3:14 PM,3:47 PM,3:59 PM,4:32 PM,4:44 PM,5:17 PM,5:28 PM,5:58 PM,6:08 PM,6:42 PM,6:52 PM,7:27 PM,7:37 PM,8:12 PM,8:22 PM,8:57 PM,9:07 PM,9:42 PM,9:52 PM,10:27 PM,10:37 PM
Arthur & Valhalla Inn,8:37 AM,8:47 AM,9:17 AM,9:27 AM,9:57 AM,10:07 AM,10:37 AM,10:47 AM,11:17 AM,11:27 AM,12:03 PM,12:13 PM,12:48 PM,12:58 PM,1:33 PM,1:43 PM,2:18 PM,2:28 PM,3:03 PM,3:13 PM,3:48 PM,3:58 PM,4:33 PM,4:43 PM,5:18 PM,5:27 PM,5:58 PM,6:08 PM,6:42 PM,6:52 PM,7:27 PM,7:37 PM,8:12 PM,8:22 PM,8:57 PM,9:07 PM,9:42 PM,9:52 PM,10:27 PM,10:37 PM
Thunder Bay Airport,8:41 AM,8:43 AM,9:21 AM,9:23 AM,10:01 AM,10:03 AM,10:41 AM,10:43 AM,11:21 AM,11:23 AM,12:07 PM,12:09 PM,12:52 PM,12:54 PM,1:37 PM,1:39 PM,2:22 PM,2:24 PM,3:07 PM,3:09 PM,3:52 PM,3:54 PM,4:37 PM,4:39 PM,5:22 PM,5:23 PM,6:02 PM,6:04 PM,6:46 PM,6:48 PM,7:31 PM,7:33 PM,8:16 PM,8:18 PM,9:01 PM,9:03 PM,9:46 PM,9:48 PM,10:31 PM,10:33 PM
