,132512:305475,132492:304762,132513:306067,132493:305790,132514:305232,132494:305726,132515:305660,132495:306029,132516:305192,132496:304977,132517:304786,132497:305979,132518:305248,132498:306071,132519:305125,132499:305431,132520:305229,132500:305307,132521:305690,132501:305558,132522:304682,132502:306077,132523:305020,132503:305854,132524:305157,132504:304663,132525:305589,132505:305404,132526:305739,132506:305900,132527:304803,132507:305181,132528:305645,132508:305748,132529:305252,132509:304919,132530:305918,132510:305154,132531:305783,132511:305785
County & Brant,8:52 AM,9:04 AM,9:32 AM,9:44 AM,10:12 AM,10:24 AM,10:52 AM,11:04 AM,11:32 AM,11:46 AM,12:19 PM,12:32 PM,1:04 PM,1:17 PM,1:49 PM,2:02 PM,2:34 PM,2:47 PM,3:19 PM,3:32 PM,4:04 PM,4:17 PM,4:49 PM,5:02 PM,5:34 PM,5:46 PM,6:15 PM,6:25 PM,7:00 PM,7:12 PM,7:45 PM,7:57 PM,8:30 PM,8:42 PM,9:15 PM,9:27 PM,10:00 PM,10:12 PM,10:45 PM,10:55 PM
County & York,8:53 AM,9:03 AM,9:33 AM,9:43 AM,10:13 AM,10:23 AM,10:53 AM,11:03 AM,11:33 AM,11:45 AM,12:19 PM,12:32 PM,1:04 PM,1:17 PM,1:49 PM,2:02 PM,2:34 PM,2:47 PM,3:19 PM,3:32 PM,4:04 PM,4:17 PM,4:49 PM,5:02 PM,5:34 PM,5:46 PM,6:16 PM,6:24 PM,7:01 PM,7:11 PM,7:46 PM,7:56 PM,8:31 PM,8:41 PM,9:16 PM,9:26 PM,10:01 PM,10:11 PM,10:46 PM,10:54 PM
County & 500s Block,8:53 AM,9:03 AM,9:33 AM,9:43 AM,10:13 AM,10:23 AM,10:53 AM,11:03 AM,11:33 AM,11:45 AM,12:20 PM,12:31 PM,1:05 PM,1:16 PM,1:50 PM,2:01 PM,2:35 PM,2:46 PM,3:20 PM,3:31 PM,4:05 PM,4:16 PM,4:50 PM,5:01 PM,5:35 PM,5:45 PM,6:16 PM,6:24 PM,7:01 PM,7:11 PM,7:46 PM,7:56 PM,8:31 PM,8:41 PM,9:16 PM,9:26 PM,10:01 PM,10:11 PM,10:46 PM,10:54 PM
Wardrope & County,8:53 AM,9:03 AM,9:33 AM,9:43 AM,10:13 AM,10:23 AM,10:53 AM,11:03 AM,11:33 AM,11:45 AM,12:20 PM,12:31 PM,1:05 PM,1:16 PM,1:50 PM,2:01 PM,2:35 PM,2:46 PM,3:20 PM,3:31 PM,4:05 PM,4:16 PM,4:50 PM,5:01 PM,5:35 PM,5:45 PM,6:16 PM,6:24 PM,7:01 PM,7:11 PM,7:46 PM,7:56 PM,8:31 PM,8:41 PM,9:16 PM,9:26 PM,10:01 PM,10:11 PM,10:46 PM,10:54 PM
Wardrope & Castlegreen,8:54 AM,9:02 AM,9:34 AM,9:42 AM,10:14 AM,10:22 AM,10:54 AM,11:02 AM,11:34 AM,11:44 AM,12:21 PM,12:30 PM,1:06 PM,1:15 PM,1:51 PM,2:00 PM,2:36 PM,2:45 PM,3:21 PM,3:30 PM,4:06 PM,4:15 PM,4:51 PM,5:00 PM,5:36 PM,5:44 PM,6:17 PM,6:23 PM,7:02 PM,7:10 PM,7:47 PM,7:55 PM,8:32 PM,8:40 PM,9:17 PM,9:25 PM,10:02 PM,10:10 PM,10:47 PM,10:53 PM
Superior View Office,8:54 AM,9:02 AM,9:34 AM,9:42 AM,10:14 AM,10:22 AM,10:54 AM,11:02 AM,11:34 AM,11:44 AM,12:21 PM,12:30 PM,1:06 PM,1:15 PM,1:51 PM,2:00 PM,2:36 PM,2:45 PM,3:21 PM,3:30 PM,4:06 PM,4:15 PM,4:51 PM,5:00 PM,5:36 PM,5:44 PM,6:17 PM,6:23 PM,7:02 PM,7:10 PM,7:47 PM,7:55 PM,8:32 PM,8:40 PM,9:17 PM,9:25 PM,10:02 PM,10:10 PM,10:47 PM,10:53 PM
Castlegreen & 100s Block,8:54 AM,9:02 AM,9:34 AM,9:42 AM,10:14 AM,10:22 AM,10:54 AM,11:02 AM,11:34 AM,11:44 AM,12:22 PM,12:29 PM,1:07 PM,1:14 PM,1:52 PM,1:59 PM,2:37 PM,2:44 PM,3:22 PM,3:29 PM,4:07 PM,4:14 PM,4:52 PM,4:59 PM,5:37 PM,5:43 PM,6:17 PM,6:23 PM,7:02 PM,7:10 PM,7:47 PM,7:55 PM,8:32 PM,8:40 PM,9:17 PM,9:25 PM,10:02 PM,10:10 PM,10:47 PM,10:53 PM
Castlegreen & 1300s Block,8:55 AM,9:01 AM,9:35 AM,9:41 AM,10:15 AM,10:21 AM,10:55 AM,11:01 AM,11:35 AM,11:43 AM,12:22 PM,12:29 PM,1:07 PM,1:14 PM,1:52 PM,1:59 PM,2:37 PM,2:44 PM,3:22 PM,3:29 PM,4:07 PM,4:14 PM,4:52 PM,4:59 PM,5:37 PM,5:43 PM,6:18 PM,6:22 PM,7:03 PM,7:09 PM,7:48 PM,7:54 PM,8:33 PM,8:39 PM,9:18 PM,9:24 PM,10:03 PM,10:09 PM,10:48 PM,10:52 PM
Castlegreen & 900s Block,8:55 AM,9:01 AM,9:35 AM,9:41 AM,10:15 AM,10:21 AM,10:55 AM,11:01 AM,11:35 AM,11:43 AM,12:22 PM,12:29 PM,1:07 PM,1:14 PM,1:52 PM,1:59 PM,2:37 PM,2:44 PM,3:22 PM,3:29 PM,4:07 PM,4:14 PM,4:52 PM,4:59 PM,5:37 PM,5:43 PM,6:18 PM,6:22 PM,7:03 PM,7:09 PM,7:48 PM,7:54 PM,8:33 PM,8:39 PM,9:18 PM,9:24 PM,10:03 PM,10:09 PM,10:48 PM,10:52 PM
Castlegreen & 800s Block,8:55 AM,9:01 AM,9:35 AM,9:41 AM,10:15 AM,10:21 AM,10:55 AM,11:01 AM,11:35 AM,11:43 AM,12:23 PM,12:28 PM,1:08 PM,1:13 PM,1:53 PM,1:58 PM,2:38 PM,2:43 PM,3:23 PM,3:28 PM,4:08 PM,4:13 PM,4:53 PM,4:58 PM,5:38 PM,5:42 PM,6:18 PM,6:22 PM,7:03 PM,7:09 PM,7:48 PM,7:54 PM,8:33 PM,8:39 PM,9:18 PM,9:24 PM,10:03 PM,10:09 PM,10:48 PM,10:52 PM
Castlegreen & 600s Block,8:55 AM,9:01 AM,9:35 AM,9:41 AM,10:15 AM,10:21 AM,10:55 AM,11:01 AM,11:35 AM,11:43 AM,12:23 PM,12:28 PM,1:08 PM,1:13 PM,1:53 PM,1:58 PM,2:38 PM,2:43 PM,3:23 PM,3:28 PM,4:08 PM,4:13 PM,4:53 PM,4:58 PM,5:38 PM,5:42 PM,6:18 PM,6:22 PM,7:03 PM,7:09 PM,7:48 PM,7:54 PM,8:33 PM,8:39 PM,9:18 PM,9:24 PM,10:03 PM,10:09 PM,10:48 PM,10:52 PM
Castlegreen & Superiorview,8:57 AM,8:59 AM,9:37 AM,9:39 AM,10:17 AM,10:19 AM,10:57 AM,10:59 AM,11:37 AM,11:41 AM,12:25 PM,12:26 PM,1:10 PM,1:11 PM,1:55 PM,1:56 PM,2:40 PM,2:41 PM,3:25 PM,3:26 PM,4:10 PM,4:11 PM,4:55 PM,4:56 PM,5:40 PM,5:40 PM,6:20 PM,6:20 PM,7:05 PM,7:07 PM,7:50 PM,7:52 PM,8:35 PM,8:37 PM,9:20 PM,9:22 PM,10:05 PM,10:07 PM,10:50 PM,10:50 PM
