,132771:304288,132752:300997,132772:304528,132753:300737,132773:304316,132754:300820,132774:304430,132755:299385,132775:303984,132756:301277,132776:304351,132757:299831,132777:304283,132758:299239,132778:304373,132759:299195,132779:303967,132760:301581,132780:303953,132761:301249,132781:304401,132762:299950,132782:303994,132763:300020,132783:304481,132764:300184,132784:304271,132765:300549,132785:303939,132766:300211,132786:304178,132767:300494,132787:304309,132768:299298,132788:303928,132769:299240,132789:303964,132770:301036
Margaret & Elm,8:51 AM,9:11 AM,9:31 AM,9:51 AM,10:11 AM,10:31 AM,10:51 AM,11:11 AM,11:31 AM,11:51 AM,12:16 PM,12:36 PM,1:01 PM,1:21 PM,1:46 PM,2:06 PM,2:31 PM,2:51 PM,3:16 PM,3:36 PM,4:01 PM,4:21 PM,4:46 PM,5:06 PM,5:31 PM,5:51 PM,6:14 PM,6:34 PM,7:01 PM,7:21 PM,7:44 PM,8:04 PM,8:29 PM,8:49 PM,9:14 PM,9:34 PM,9:54 PM,10:14 PM
Balsam & Simcoe,8:52 AM,9:10 AM,9:32 AM,9:50 AM,10:12 AM,10:30 AM,10:52 AM,11:10 AM,11:32 AM,11:50 AM,12:17 PM,12:35 PM,1:02 PM,1:20 PM,1:47 PM,2:05 PM,2:32 PM,2:50 PM,3:17 PM,3:35 PM,4:02 PM,4:20 PM,4:47 PM,5:05 PM,5:32 PM,5:50 PM,6:15 PM,6:33 PM,7:02 PM,7:20 PM,7:45 PM,8:03 PM,8:30 PM,8:48 PM,9:15 PM,9:33 PM,9:55 PM,10:13 PM
Balsam & Melvin,8:52 AM,9:10 AM,9:32 AM,9:50 AM,10:12 AM,10:30 AM,10:52 AM,11:10 AM,11:32 AM,11:50 AM,12:17 PM,12:35 PM,1:02 PM,1:20 PM,1:47 PM,2:05 PM,2:32 PM,2:50 PM,3:17 PM,3:35 PM,4:02 PM,4:20 PM,4:47 PM,5:05 PM,5:32 PM,5:50 PM,6:15 PM,6:33 PM,7:02 PM,7:20 PM,7:45 PM,8:03 PM,8:30 PM,8:48 PM,9:15 PM,9:33 PM,9:55 PM,10:13 PM
Superior Collegiate,8:53 AM,9:09 AM,9:33 AM,9:49 AM,10:13 AM,10:29 AM,10:53 AM,11:09 AM,11:33 AM,11:49 AM,12:18 PM,12:34 PM,1:03 PM,1:19 PM,1:48 PM,2:04 PM,2:33 PM,2:49 PM,3:18 PM,3:34 PM,4:03 PM,4:19 PM,4:48 PM,5:04 PM,5:33 PM,5:49 PM,6:16 PM,6:32 PM,7:03 PM,7:19 PM,7:46 PM,8:02 PM,8:31 PM,8:47 PM,9:16 PM,9:32 PM,9:56 PM,10:12 PM
High & Theresa,8:54 AM,9:08 AM,9:34 AM,9:48 AM,10:14 AM,10:28 AM,10:54 AM,11:08 AM,11:34 AM,11:48 AM,12:19 PM,12:33 PM,1:04 PM,1:18 PM,1:49 PM,2:03 PM,2:34 PM,2:48 PM,3:19 PM,3:33 PM,4:04 PM,4:18 PM,4:49 PM,5:03 PM,5:34 PM,5:48 PM,6:17 PM,6:31 PM,7:04 PM,7:18 PM,7:47 PM,8:01 PM,8:32 PM,8:46 PM,9:17 PM,9:31 PM,9:57 PM,10:11 PM
Balsam & Margaret,8:54 AM,9:08 AM,9:34 AM,9:48 AM,10:14 AM,10:28 AM,10:54 AM,11:08 AM,11:34 AM,11:48 AM,12:19 PM,12:33 PM,1:04 PM,1:18 PM,1:49 PM,2:03 PM,2:34 PM,2:48 PM,3:19 PM,3:33 PM,4:04 PM,4:18 PM,4:49 PM,5:03 PM,5:34 PM,5:48 PM,6:17 PM,6:31 PM,7:04 PM,7:18 PM,7:47 PM,8:01 PM,8:32 PM,8:46 PM,9:17 PM,9:31 PM,9:57 PM,10:11 PM
Balsam & Clayte,8:54 AM,9:08 AM,9:34 AM,9:48 AM,10:14 AM,10:28 AM,10:54 AM,11:08 AM,11:34 AM,11:48 AM,12:19 PM,12:33 PM,1:04 PM,1:18 PM,1:49 PM,2:03 PM,2:34 PM,2:48 PM,3:19 PM,3:33 PM,4:04 PM,4:18 PM,4:49 PM,5:03 PM,5:34 PM,5:48 PM,6:17 PM,6:31 PM,7:04 PM,7:18 PM,7:47 PM,8:01 PM,8:32 PM,8:46 PM,9:17 PM,9:31 PM,9:57 PM,10:11 PM
Balsam & Hull,8:55 AM,9:07 AM,9:35 AM,9:47 AM,10:15 AM,10:27 AM,10:55 AM,11:07 AM,11:35 AM,11:47 AM,12:20 PM,12:32 PM,1:05 PM,1:17 PM,1:50 PM,2:02 PM,2:35 PM,2:47 PM,3:20 PM,3:32 PM,4:05 PM,4:17 PM,4:50 PM,5:02 PM,5:35 PM,5:47 PM,6:18 PM,6:30 PM,7:05 PM,7:17 PM,7:48 PM,8:00 PM,8:33 PM,8:45 PM,9:18 PM,9:30 PM,9:58 PM,10:10 PM
Balsam & Velva,8:55 AM,9:07 AM,9:35 AM,9:47 AM,10:15 AM,10:27 AM,10:55 AM,11:07 AM,11:35 AM,11:47 AM,12:20 PM,12:32 PM,1:05 PM,1:17 PM,1:50 PM,2:02 PM,2:35 PM,2:47 PM,3:20 PM,3:32 PM,4:05 PM,4:17 PM,4:50 PM,5:02 PM,5:35 PM,5:47 PM,6:18 PM,6:30 PM,7:05 PM,7:17 PM,7:48 PM,8:00 PM,8:33 PM,8:45 PM,9:18 PM,9:30 PM,9:58 PM,10:10 PM
Balsam & Huron,8:55 AM,9:07 AM,9:35 AM,9:47 AM,10:15 AM,10:27 AM,10:55 AM,11:07 AM,11:35 AM,11:47 AM,12:20 PM,12:32 PM,1:05 PM,1:17 PM,1:50 PM,2:02 PM,2:35 PM,2:47 PM,3:20 PM,3:32 PM,4:05 PM,4:17 PM,4:50 PM,5:02 PM,5:35 PM,5:47 PM,6:18 PM,6:30 PM,7:05 PM,7:17 PM,7:48 PM,8:00 PM,8:33 PM,8:45 PM,9:18 PM,9:30 PM,9:58 PM,10:10 PM
Hudson & Huron,8:57 AM,9:05 AM,9:37 AM,9:45 AM,10:17 AM,10:25 AM,10:57 AM,11:05 AM,11:37 AM,11:45 AM,12:22 PM,12:30 PM,1:07 PM,1:15 PM,1:52 PM,2:00 PM,2:37 PM,2:45 PM,3:22 PM,3:30 PM,4:07 PM,4:15 PM,4:52 PM,5:00 PM,5:37 PM,5:45 PM,6:20 PM,6:28 PM,7:07 PM,7:15 PM,7:50 PM,7:58 PM,8:35 PM,8:43 PM,9:20 PM,9:28 PM,10:00 PM,10:08 PM
Hudson Heights Apartments,8:57 AM,9:05 AM,9:37 AM,9:45 AM,10:17 AM,10:25 AM,10:57 AM,11:05 AM,11:37 AM,11:45 AM,12:22 PM,12:30 PM,1:07 PM,1:15 PM,1:52 PM,2:00 PM,2:37 PM,2:45 PM,3:22 PM,3:30 PM,4:07 PM,4:15 PM,4:52 PM,5:00 PM,5:37 PM,5:45 PM,6:20 PM,6:28 PM,7:07 PM,7:15 PM,7:50 PM,7:58 PM,8:35 PM,8:43 PM,9:20 PM,9:28 PM,10:00 PM,10:08 PM
Hudson & Shuniah,8:58 AM,9:04 AM,9:38 AM,9:44 AM,10:18 AM,10:24 AM,10:58 AM,11:04 AM,11:38 AM,11:44 AM,12:23 PM,12:29 PM,1:08 PM,1:14 PM,1:53 PM,1:59 PM,2:38 PM,2:44 PM,3:23 PM,3:29 PM,4:08 PM,4:14 PM,4:53 PM,4:59 PM,5:38 PM,5:44 PM,6:21 PM,6:27 PM,7:08 PM,7:14 PM,7:51 PM,7:57 PM,8:36 PM,8:42 PM,9:21 PM,9:27 PM,10:01 PM,10:07 PM
Hudson & Toledo,8:58 AM,9:04 AM,9:38 AM,9:44 AM,10:18 AM,10:24 AM,10:58 AM,11:04 AM,11:38 AM,11:44 AM,12:23 PM,12:29 PM,1:08 PM,1:14 PM,1:53 PM,1:59 PM,2:38 PM,2:44 PM,3:23 PM,3:29 PM,4:08 PM,4:14 PM,4:53 PM,4:59 PM,5:38 PM,5:44 PM,6:21 PM,6:27 PM,7:08 PM,7:14 PM,7:51 PM,7:57 PM,8:36 PM,8:42 PM,9:21 PM,9:27 PM,10:01 PM,10:07 PM
Toledo & Michigan,8:59 AM,9:03 AM,9:39 AM,9:43 AM,10:19 AM,10:23 AM,10:59 AM,11:03 AM,11:39 AM,11:43 AM,12:24 PM,12:28 PM,1:09 PM,1:13 PM,1:54 PM,1:58 PM,2:39 PM,2:43 PM,3:24 PM,3:28 PM,4:09 PM,4:13 PM,4:54 PM,4:58 PM,5:39 PM,5:43 PM,6:22 PM,6:26 PM,7:09 PM,7:13 PM,7:52 PM,7:56 PM,8:37 PM,8:41 PM,9:22 PM,9:26 PM,10:02 PM,10:06 PM
Huron & Otto,8:59 AM,9:03 AM,9:39 AM,9:43 AM,10:19 AM,10:23 AM,10:59 AM,11:03 AM,11:39 AM,11:43 AM,12:24 PM,12:28 PM,1:09 PM,1:13 PM,1:54 PM,1:58 PM,2:39 PM,2:43 PM,3:24 PM,3:28 PM,4:09 PM,4:13 PM,4:54 PM,4:58 PM,5:39 PM,5:43 PM,6:22 PM,6:26 PM,7:09 PM,7:13 PM,7:52 PM,7:56 PM,8:37 PM,8:41 PM,9:22 PM,9:26 PM,10:02 PM,10:06 PM
Shuniah & Huron,9:00 AM,9:02 AM,9:40 AM,9:42 AM,10:20 AM,10:22 AM,11:00 AM,11:02 AM,11:40 AM,11:42 AM,12:25 PM,12:27 PM,1:10 PM,1:12 PM,1:55 PM,1:57 PM,2:40 PM,2:42 PM,3:25 PM,3:27 PM,4:10 PM,4:12 PM,4:55 PM,4:57 PM,5:40 PM,5:42 PM,6:23 PM,6:25 PM,7:10 PM,7:12 PM,7:53 PM,7:55 PM,8:38 PM,8:40 PM,9:23 PM,9:25 PM,10:03 PM,10:05 PM
Shuniah & Erie,9:01 AM,9:01 AM,9:41 AM,9:41 AM,10:21 AM,10:21 AM,11:01 AM,11:01 AM,11:41 AM,11:41 AM,12:26 PM,12:26 PM,1:11 PM,1:11 PM,1:56 PM,1:56 PM,2:41 PM,2:41 PM,3:26 PM,3:26 PM,4:11 PM,4:11 PM,4:56 PM,4:56 PM,5:41 PM,5:41 PM,6:24 PM,6:24 PM,7:11 PM,7:11 PM,7:54 PM,7:54 PM,8:39 PM,8:39 PM,9:24 PM,9:24 PM,10:04 PM,10:04 PM
