,132861:305303,132842:299972,132845:305971,132846:304732,132863:299439,132847:305564,132830:305782,132848:305075,132831:305035,132832:304714,132849:305905,132850:305595,132833:305410,132851:304840,132834:306009,132835:305587,132852:305968,132853:304697,132836:304994,132854:305630,132837:305489,132855:304728,132838:305947,132856:304777,132839:304735,132840:305676,132860:305467,132841:301207,132862:305445,132865:301304,132864:306038,132866:300797,132857:305351,132867:300574,132858:305025,132843:299861,132859:305114,132844:301308
Golf Links & Riviera,8:54 AM,9:06 AM,9:34 AM,10:14 AM,9:46 AM,10:54 AM,10:25 AM,11:35 AM,11:13 AM,11:53 AM,12:20 PM,1:05 PM,12:38 PM,1:50 PM,1:23 PM,2:08 PM,2:35 PM,3:20 PM,2:53 PM,4:05 PM,3:38 PM,4:50 PM,4:23 PM,5:34 PM,5:00 PM,4:58 PM,6:17 PM,6:23 PM,7:02 PM,7:14 PM,7:47 PM,7:59 PM,8:32 PM,8:44 PM,9:17 PM,9:29 PM,10:02 PM,10:14 PM
Golf Links & Sunrise,8:55 AM,9:05 AM,9:35 AM,10:15 AM,9:45 AM,10:55 AM,10:24 AM,11:37 AM,11:11 AM,11:51 AM,12:22 PM,1:07 PM,12:36 PM,1:52 PM,1:21 PM,2:06 PM,2:37 PM,3:22 PM,2:51 PM,4:07 PM,3:36 PM,4:52 PM,4:21 PM,5:35 PM,4:59 PM,4:59 PM,6:18 PM,6:22 PM,7:03 PM,7:13 PM,7:48 PM,7:58 PM,8:33 PM,8:43 PM,9:18 PM,9:28 PM,10:03 PM,10:13 PM
Thunder Bay Regional Hospital,8:57 AM,9:03 AM,9:37 AM,10:17 AM,9:43 AM,10:57 AM,10:22 AM,11:40 AM,11:08 AM,11:48 AM,12:25 PM,1:10 PM,12:33 PM,1:55 PM,1:18 PM,2:03 PM,2:40 PM,3:25 PM,2:48 PM,4:10 PM,3:33 PM,4:55 PM,4:18 PM,5:37 PM,4:57 PM,5:01 PM,6:20 PM,6:20 PM,7:05 PM,7:11 PM,7:50 PM,7:56 PM,8:35 PM,8:41 PM,9:20 PM,9:26 PM,10:05 PM,10:11 PM
Oliver & Sanders,8:58 AM,9:02 AM,9:38 AM,10:18 AM,9:42 AM,10:58 AM,10:21 AM,11:41 AM,11:07 AM,11:47 AM,12:26 PM,1:11 PM,12:32 PM,1:56 PM,1:17 PM,2:02 PM,2:41 PM,3:26 PM,2:47 PM,4:11 PM,3:32 PM,4:56 PM,4:17 PM,5:38 PM,4:56 PM,5:02 PM,6:21 PM,6:19 PM,7:06 PM,7:10 PM,7:51 PM,7:55 PM,8:36 PM,8:40 PM,9:21 PM,9:25 PM,10:06 PM,10:10 PM
Lakehead University (Arrival),9:00 AM,9:00 AM,9:40 AM,10:20 AM,9:40 AM,11:00 AM,10:19 AM,11:43 AM,11:05 AM,11:45 AM,12:28 PM,1:13 PM,12:30 PM,1:58 PM,1:15 PM,2:00 PM,2:43 PM,3:28 PM,2:45 PM,4:13 PM,3:30 PM,4:58 PM,4:15 PM,5:40 PM,4:54 PM,5:04 PM,6:23 PM,6:17 PM,7:08 PM,7:08 PM,7:53 PM,7:53 PM,8:38 PM,8:38 PM,9:23 PM,9:23 PM,10:08 PM,10:08 PM
Lakehead University (Departure),,9:00 AM,9:45 AM,10:25 AM,9:40 AM,11:05 AM,10:14 AM,11:48 AM,11:00 AM,11:40 AM,12:33 PM,1:18 PM,12:25 PM,2:03 PM,1:10 PM,1:55 PM,2:48 PM,3:33 PM,2:40 PM,4:18 PM,3:25 PM,5:03 PM,4:10 PM,5:45 PM,4:49 PM,5:09 PM,,6:12 PM,,7:08 PM,,7:53 PM,,8:38 PM,,9:23 PM,,10:08 PM
Nursing Building,,,9:45 AM,10:25 AM,,11:05 AM,10:14 AM,11:48 AM,11:00 AM,11:40 AM,12:33 PM,1:18 PM,12:25 PM,2:03 PM,1:10 PM,1:55 PM,2:48 PM,3:33 PM,2:40 PM,4:18 PM,3:25 PM,5:03 PM,4:10 PM,5:45 PM,4:49 PM,5:09 PM,,6:12 PM,,,,,,,,,,
Oliver & Bora Laskin,,,9:46 AM,10:26 AM,,11:06 AM,10:13 AM,11:50 AM,10:58 AM,11:38 AM,12:35 PM,1:20 PM,12:23 PM,2:05 PM,1:08 PM,1:53 PM,2:50 PM,3:35 PM,2:38 PM,4:20 PM,3:23 PM,5:05 PM,4:08 PM,5:46 PM,4:48 PM,5:10 PM,,6:11 PM,,,,,,,,,,
Balmoral & Academy,,,9:47 AM,10:27 AM,,11:07 AM,10:12 AM,11:51 AM,10:57 AM,11:37 AM,12:36 PM,1:21 PM,12:22 PM,2:06 PM,1:07 PM,1:52 PM,2:51 PM,3:36 PM,2:37 PM,4:21 PM,3:22 PM,5:06 PM,4:07 PM,5:47 PM,4:47 PM,5:11 PM,,6:10 PM,,,,,,,,,,
Balmoral & Beverly,,,9:47 AM,10:27 AM,,11:07 AM,10:12 AM,11:52 AM,10:56 AM,11:36 AM,12:37 PM,1:22 PM,12:21 PM,2:07 PM,1:06 PM,1:51 PM,2:52 PM,3:37 PM,2:36 PM,4:22 PM,3:21 PM,5:07 PM,4:06 PM,5:47 PM,4:47 PM,5:11 PM,,6:10 PM,,,,,,,,,,
Jasper & Balmoral,,,9:48 AM,10:28 AM,,11:08 AM,10:11 AM,11:53 AM,10:55 AM,11:35 AM,12:38 PM,1:23 PM,12:20 PM,2:08 PM,1:05 PM,1:50 PM,2:53 PM,3:38 PM,2:35 PM,4:23 PM,3:20 PM,5:08 PM,4:05 PM,5:48 PM,4:46 PM,5:12 PM,,6:09 PM,,,,,,,,,,
Tungsten & Jasper,,,9:48 AM,10:28 AM,,11:08 AM,10:11 AM,11:53 AM,10:55 AM,11:35 AM,12:38 PM,1:23 PM,12:20 PM,2:08 PM,1:05 PM,1:50 PM,2:53 PM,3:38 PM,2:35 PM,4:23 PM,3:20 PM,5:08 PM,4:05 PM,5:48 PM,4:46 PM,5:12 PM,,6:09 PM,,,,,,,,,,
Tungsten & Lithium,,,9:49 AM,10:29 AM,,11:09 AM,10:10 AM,11:54 AM,10:54 AM,11:34 AM,12:39 PM,1:24 PM,12:19 PM,2:09 PM,1:04 PM,1:49 PM,2:54 PM,3:39 PM,2:34 PM,4:24 PM,3:19 PM,5:09 PM,4:04 PM,5:49 PM,4:45 PM,5:13 PM,,6:08 PM,,,,,,,,,,
Tungsten & Copper,,,9:49 AM,10:29 AM,,11:09 AM,10:10 AM,11:55 AM,10:53 AM,11:33 AM,12:40 PM,1:25 PM,12:18 PM,2:10 PM,1:03 PM,1:48 PM,2:55 PM,3:40 PM,2:33 PM,4:25 PM,3:18 PM,5:10 PM,4:03 PM,5:49 PM,4:45 PM,5:13 PM,,6:08 PM,,,,,,,,,,
Central & Tungsten,,,9:49 AM,10:29 AM,,11:09 AM,10:10 AM,11:55 AM,10:53 AM,11:33 AM,12:40 PM,1:25 PM,12:18 PM,2:10 PM,1:03 PM,1:48 PM,2:55 PM,3:40 PM,2:33 PM,4:25 PM,3:18 PM,5:10 PM,4:03 PM,5:49 PM,4:45 PM,5:13 PM,,6:08 PM,,,,,,,,,,
Central & Carrick,,,9:50 AM,10:30 AM,,11:10 AM,10:09 AM,11:56 AM,10:52 AM,11:32 AM,12:41 PM,1:26 PM,12:17 PM,2:11 PM,1:02 PM,1:47 PM,2:56 PM,3:41 PM,2:32 PM,4:26 PM,3:17 PM,5:11 PM,4:02 PM,5:50 PM,4:44 PM,5:14 PM,,6:07 PM,,,,,,,,,,
Central & Memorial,,,9:51 AM,10:31 AM,,11:11 AM,10:08 AM,11:57 AM,10:51 AM,11:31 AM,12:42 PM,1:27 PM,12:16 PM,2:12 PM,1:01 PM,1:46 PM,2:57 PM,3:42 PM,2:31 PM,4:27 PM,3:16 PM,5:12 PM,4:01 PM,5:51 PM,4:43 PM,5:15 PM,,6:06 PM,,,,,,,,,,
Ft. Wm. Rd. & Walmart,,,9:52 AM,10:32 AM,,11:12 AM,10:07 AM,11:59 AM,10:49 AM,11:29 AM,12:44 PM,1:29 PM,12:14 PM,2:14 PM,12:59 PM,1:44 PM,2:59 PM,3:44 PM,2:29 PM,4:29 PM,3:14 PM,5:14 PM,3:59 PM,5:52 PM,4:42 PM,5:16 PM,,6:05 PM,,,,,,,,,,
Ft. Wm. Rd. & Harbour Expy,,,9:53 AM,10:33 AM,,11:13 AM,10:06 AM,12:00 PM,10:48 AM,11:28 AM,12:45 PM,1:30 PM,12:13 PM,2:15 PM,12:58 PM,1:43 PM,3:00 PM,3:45 PM,2:28 PM,4:30 PM,3:13 PM,5:15 PM,3:58 PM,5:53 PM,4:41 PM,5:17 PM,,6:04 PM,,,,,,,,,,
Ft. Wm. Rd. & Intercity,,,9:53 AM,10:33 AM,,11:13 AM,10:06 AM,12:01 PM,10:47 AM,11:27 AM,12:46 PM,1:31 PM,12:12 PM,2:16 PM,12:57 PM,1:42 PM,3:01 PM,3:46 PM,2:27 PM,4:31 PM,3:12 PM,5:16 PM,3:57 PM,5:53 PM,4:41 PM,5:17 PM,,6:04 PM,,,,,,,,,,
Intercity Shopping Centre,,,9:56 AM,10:36 AM,,11:16 AM,10:03 AM,12:05 PM,10:43 AM,11:23 AM,12:50 PM,1:35 PM,12:08 PM,2:20 PM,12:53 PM,1:38 PM,3:05 PM,3:50 PM,2:23 PM,4:35 PM,3:08 PM,5:20 PM,3:53 PM,5:56 PM,4:38 PM,5:20 PM,,6:01 PM,,,,,,,,,,
