route_id,service_id,trip_id,trip_headsign,shape_id
10,299651,139094:299651,NORTHWOOD to College,3264
7,299657,138742:299657,HUDSON to Waterfront,3172
14,299659,132452:299659,ARTHUR to City Hall,3243
5,299665,134302:299665,EDWARD to Waterfront,3119
2,299666,132744:299666,CROSSTOWN to Waterfront,3262
10,299669,134937:299669,NORTHWOOD to County Park,3100
3J,299672,134903:299672,JUMBO GARDENS to Sherwood Dr.,3287
12,299673,134716:299673,to City Hall,3244
3M,299674,135587:299674,MEMORIAL to Jumbo Gardens,3281
9,299675,135109:299675,JUNOT to Waterfront,3261
14,299679,134386:299679,ARTHUR to Airport,3145
5,299680,134301:299680,EDWARD to Waterfront,3119
5,299681,134879:299681,EDWARD to Waterfront,3119
2,299687,132748:299687,CROSSTOWN to Waterfront,3128
3M,299690,138905:299690,MEMORIAL to Waterfront,3179
14,299691,132454:299691,ARTHUR to City Hall,3243
7,299693,135662:299693,HUDSON to Waterfront,3172
7,299694,135214:299694,HUDSON to Waterfront,3172
1,299698,138865:299698,MAINLINE to City Hall,3114
14,299700,134374:299700,ARTHUR to City Hall,3243
10,299702,134928:299702,NORTHWOOD to County Park,3100
6,299703,134655:299703,MISSION RD.,3104
1,299706,138824:299706,MAINLINE to Westfort,3130
2,299712,133903:299712,CROSSTOWN to Waterfront,3128
10,299716,134436:299716,NORTHWOOD to College,3264
14,299717,139032:299717,ARTHUR to City Hall,3243
6,299728,134658:299728,MISSION RD.,3104
3M,299729,135719:299729,MEMORIAL to Northwood,3278
1,299730,132693:299730,MAINLINE to City Hall,3114
7,299737,135249:299737,HUDSON to Waterfront,3172
12,299738,134724:299738,to City Hall,3244
10,299739,139075:299739,NORTHWOOD to County Park,3100
1,299742,132661:299742,MAINLINE to Westfort,3130
14,299749,132469:299749,ARTHUR to City Hall,3243
5,299750,135619:299750,EDWARD to Waterfront,3119
7,299752,134072:299752,HUDSON to Waterfront,3172
2,299753,133902:299753,CROSSTOWN to Waterfront,3262
10,299754,134432:299754,NORTHWOOD to County Park,3100
13,299757,139122:299757,JOHN-JUMBO to Waterfront,3223
1,299759,135070:299759,MAINLINE to Westfort,3130
9,299761,135116:299761,JUNOT to Waterfront,3261
10,299762,134427:299762,NORTHWOOD to City Hall,3249
14,299763,134775:299763,ARTHUR to Airport,3145
3C,299767,134992:299767,COUNTY PARK to Northwood,3271
10,299768,134415:299768,NORTHWOOD to County Park,3100
3M,299771,138926:299771,MEMORIAL to City Hall,3126
16,299773,134684:299773,BALMORAL to City Hall,3166
13,299774,134649:299774,JOHN-JUMBO to County Fair,3265
5,299775,134300:299775,EDWARD to Waterfront,3119
14,299776,134771:299776,ARTHUR to Airport,3145
2,299777,132732:299777,CROSSTOWN to Waterfront,3262
9,299782,135141:299782,JUNOT to Intercity,3260
3M,299783,135573:299783,MEMORIAL to Jumbo Gardens,3281
14,299784,134789:299784,ARTHUR to City Hall,3243
3M,299785,135387:299785,MEMORIAL to Northwood,3278
1,299787,134132:299787,MAINLINE to Westfort,3130
12,299790,134722:299790,to City Hall,3244
3M,299791,138906:299791,MEMORIAL to Northwood,3149
3M,299795,135696:299795,MEMORIAL to Airport,3277
2,299800,133878:299800,CROSSTOWN to Waterfront,3128
5,299803,134308:299803,EDWARD to Waterfront,3119
7,299805,138737:299805,HUDSON to Waterfront,3172
16,299806,134489:299806,BALMORAL to College,3152
13,299807,134640:299807,JOHN-JUMBO to Waterfront,3223
5,299812,134298:299812,EDWARD to Waterfront,3119
3C,299816,135014:299816,COUNTY PARK to Castlegreen Dr,3168
3M,299819,138920:299819,MEMORIAL to City Hall,3126
14,299826,134772:299826,ARTHUR to Airport,3145
3M,299827,135412:299827,MEMORIAL to County Park,3175
7,299831,132757:299831,HUDSON to Waterfront,3172
10,299833,134414:299833,NORTHWOOD to County Park,3100
14,299834,134757:299834,ARTHUR to Jumbo Gardens,3288
16,299838,134487:299838,BALMORAL to College,3152
12,299841,134713:299841,to City Hall,3244
13,299844,139116:299844,JOHN-JUMBO to Waterfront,3223
14,299846,134774:299846,ARTHUR to Airport,3145
2,299847,133914:299847,CROSSTOWN to Westfort,3113
2,299850,133884:299850,CROSSTOWN to Waterfront,3262
13,299852,134637:299852,JOHN-JUMBO to Waterfront,3223
14,299855,134782:299855,ARTHUR to City Hall,3243
9,299861,132843:299861,JUNOT to Waterfront,3096
7,299862,134054:299862,HUDSON to Waterfront,3172
7,299865,138738:299865,HUDSON to Waterfront,3172
10,299869,134942:299869,NORTHWOOD to City Hall,3249
1,299874,135056:299874,MAINLINE to City Hall,3272
5,299881,134878:299881,EDWARD to Waterfront,3119
3M,299883,135399:299883,MEMORIAL to Northwood,3278
3M,299884,135353:299884,MEMORIAL to County Park,3279
14,299885,134752:299885,ARTHUR to Jumbo Gardens,3288
3M,299896,135416:299896,MEMORIAL to Northwood,3149
3M,299897,135374:299897,MEMORIAL to Jumbo Gardens,3281
1,299903,134131:299903,MAINLINE to Westfort,3130
3M,299906,138897:299906,MEMORIAL to Waterfront,3179
3M,299908,135393:299908,MEMORIAL to Northwood,3278
3J,299917,135622:299917,JUMBO GARDENS to Sherwood Dr.,3287
3M,299919,135429:299919,MEMORIAL to City Hall,3126
3C,299921,134990:299921,COUNTY PARK to Northwood,3271
10,299925,134930:299925,NORTHWOOD to County Park,3100
11,299929,134811:299929,JOHN to Waterfront,3280
1,299930,135612:299930,MAINLINE to Westfort,3130
3M,299932,135566:299932,MEMORIAL to Jumbo Gardens,3281
10,299933,132451:299933,NORTHWOOD to College,3264
11,299934,135643:299934,JOHN to Waterfront,3280
1,299936,135037:299936,MAINLINE to Westfort,3130
1,299938,135066:299938,MAINLINE to Westfort,3130
9,299944,135635:299944,JUNOT to Waterfront,3261
3M,299947,135714:299947,MEMORIAL to Airport,3277
1,299948,138829:299948,MAINLINE to Westfort,3130
7,299950,132762:299950,HUDSON to Waterfront,3172
14,299951,134362:299951,ARTHUR to Jumbo Gardens,3288
10,299961,134939:299961,NORTHWOOD to County Park,3100
3M,299965,135354:299965,MEMORIAL to Jumbo Gardens,3281
7,299966,135240:299966,HUDSON to Waterfront,3172
14,299968,135505:299968,ARTHUR to Jumbo Gardens,3288
14,299969,134361:299969,ARTHUR to Jumbo Gardens,3288
9,299972,132842:299972,JUNOT to Waterfront,3096
7,299978,138745:299978,HUDSON to Waterfront,3172
9,299985,133954:299985,JUNOT to Waterfront,3261
10,299986,134426:299986,NORTHWOOD to County Park,3100
3M,299987,135395:299987,MEMORIAL to Northwood,3278
10,299990,134429:299990,NORTHWOOD to County Park,3100
3J,299991,134901:299991,JUMBO GARDENS to Sherwood Dr.,3287
5,299993,134304:299993,EDWARD to Waterfront,3119
5,299994,132561:299994,EDWARD to Waterfront,3119
5,299995,138969:299995,EDWARD to Westfort,3136
3M,299999,135397:299999,MEMORIAL to Northwood,3278
7,300005,134053:300005,HUDSON to Waterfront,3172
14,300007,134755:300007,ARTHUR to Jumbo Gardens,3288
1,300010,138859:300010,MAINLINE to City Hall,3114
10,300011,134941:300011,NORTHWOOD to County Park,3100
14,300012,134358:300012,ARTHUR to Jumbo Gardens,3288
5,300015,135538:300015,EDWARD to Westfort,3136
3C,300016,135697:300016,COUNTY PARK to Castlegreen Dr,3168
7,300020,132763:300020,HUDSON to Waterfront,3172
12,300021,135582:300021,to City Hall,3244
3J,300026,135694:300026,JUMBO GARDENS to Sherwood Dr.,3287
10,300029,134959:300029,NORTHWOOD to County Park,3100
3M,300033,135705:300033,MEMORIAL to Airport,3277
2,300037,132734:300037,CROSSTOWN to Waterfront,3262
1,300043,135062:300043,MAINLINE to Westfort,3130
3M,300045,135392:300045,MEMORIAL to Airport,3277
8,300048,135569:300048,JAMES to Intercity via College,3282
14,300050,134770:300050,ARTHUR to Airport,3145
7,300052,138749:300052,HUDSON to Waterfront,3172
1,300053,132696:300053,MAINLINE to City Hall,3114
10,300058,134936:300058,NORTHWOOD to County Park,3100
3M,300060,135410:300060,MEMORIAL to Northwood,3149
9,300063,135637:300063,JUNOT to Waterfront,3261
7,300064,135212:300064,HUDSON to Waterfront,3172
1,300065,135060:300065,MAINLINE to Westfort,3130
3M,300066,138944:300066,MEMORIAL to City Hall,3126
1,300067,135041:300067,MAINLINE to Westfort,3130
2,300068,133901:300068,CROSSTOWN to Waterfront,3262
5,300070,134855:300070,EDWARD to Westfort,3136
10,300071,135526:300071,NORTHWOOD to County Park,3100
10,300073,134460:300073,NORTHWOOD to College,3264
5,300074,134852:300074,EDWARD to Westfort,3136
14,300078,134395:300078,ARTHUR to Airport,3145
10,300079,134434:300079,NORTHWOOD to Waterfront,3292
16,300082,134683:300082,BALMORAL to City Hall,3166
1,300084,132698:300084,MAINLINE to City Hall,3114
5,300091,132556:300091,EDWARD to Waterfront,3119
10,300104,139076:300104,NORTHWOOD to County Park,3100
