service_id,date,exception_type
305145,20220202,1
305145,20220203,1
305145,20220204,1
305145,20220207,1
305145,20220208,1
305145,20220209,1
305145,20220210,1
305145,20220211,1
305145,20220214,1
305145,20220215,1
305145,20220216,1
305145,20220217,1
305145,20220218,1
305145,20220222,1
305145,20220223,1
305145,20220224,1
305145,20220225,1
305145,20220228,1
305145,20220301,1
305145,20220302,1
305145,20220303,1
305145,20220304,1
306004,20220126,1
306004,20220127,1
306004,20220128,1
306004,20220131,1
306004,20220201,1
306004,20220202,1
306004,20220203,1
306004,20220204,1
306004,20220207,1
306004,20220208,1
306004,20220209,1
306004,20220210,1
306004,20220211,1
306004,20220214,1
306004,20220215,1
306004,20220216,1
306004,20220217,1
306004,20220218,1
306004,20220222,1
306004,20220223,1
306004,20220224,1
306004,20220225,1
306004,20220228,1
306004,20220301,1
306004,20220302,1
306004,20220303,1
306004,20220304,1
306043,20220126,1
306043,20220127,1
306043,20220128,1
306043,20220131,1
306043,20220201,1
306043,20220202,1
306043,20220203,1
306043,20220204,1
306043,20220207,1
306043,20220208,1
306043,20220209,1
306043,20220210,1
306043,20220211,1
306043,20220214,1
306043,20220215,1
306043,20220216,1
306043,20220217,1
306043,20220218,1
306043,20220222,1
306043,20220223,1
306043,20220224,1
306043,20220225,1
306043,20220228,1
306043,20220301,1
306043,20220302,1
306043,20220303,1
306043,20220304,1
304888,20220126,1
304888,20220127,1
304888,20220128,1
304888,20220131,1
304888,20220201,1
304888,20220202,1
304888,20220203,1
304888,20220204,1
304888,20220207,1
304888,20220208,1
304888,20220209,1
304888,20220210,1
304888,20220211,1
304888,20220214,1
304888,20220215,1
304888,20220216,1
304888,20220217,1
304888,20220218,1
304888,20220222,1
304888,20220223,1
304888,20220224,1
304888,20220225,1
304888,20220228,1
304888,20220301,1
304888,20220302,1
304888,20220303,1
304888,20220304,1
305544,20220126,1
305544,20220127,1
305544,20220128,1
305544,20220131,1
305544,20220201,1
305544,20220202,1
305544,20220203,1
305544,20220204,1
305544,20220207,1
305544,20220208,1
305544,20220209,1
305544,20220210,1
305544,20220211,1
305544,20220214,1
305544,20220215,1
305544,20220216,1
305544,20220217,1
305544,20220218,1
305544,20220222,1
305544,20220223,1
305544,20220224,1
305544,20220225,1
305544,20220228,1
305544,20220301,1
305544,20220302,1
305544,20220303,1
305544,20220304,1
305678,20220126,1
305678,20220127,1
305678,20220128,1
305678,20220131,1
305678,20220201,1
305678,20220202,1
305678,20220203,1
305678,20220204,1
305678,20220207,1
305678,20220208,1
305678,20220209,1
305678,20220210,1
305678,20220211,1
305678,20220214,1
305678,20220215,1
305678,20220216,1
305678,20220217,1
305678,20220218,1
305678,20220222,1
305678,20220223,1
305678,20220224,1
305678,20220225,1
305678,20220228,1
305678,20220301,1
305678,20220302,1
305678,20220303,1
305678,20220304,1
305901,20220126,1
305901,20220127,1
305901,20220128,1
305901,20220131,1
305901,20220201,1
305901,20220202,1
305901,20220203,1
305901,20220204,1
305901,20220207,1
305901,20220208,1
305901,20220209,1
305901,20220210,1
305901,20220211,1
305901,20220214,1
305901,20220215,1
305901,20220216,1
305901,20220217,1
305901,20220218,1
305901,20220222,1
305901,20220223,1
305901,20220224,1
305901,20220225,1
305901,20220228,1
305901,20220301,1
305901,20220302,1
305901,20220303,1
305901,20220304,1
305950,20220126,1
305950,20220127,1
305950,20220128,1
305950,20220131,1
305950,20220201,1
305950,20220202,1
305950,20220203,1
305950,20220204,1
305950,20220207,1
305950,20220208,1
305950,20220209,1
305950,20220210,1
305950,20220211,1
305950,20220214,1
305950,20220215,1
305950,20220216,1
305950,20220217,1
305950,20220218,1
305950,20220222,1
305950,20220223,1
305950,20220224,1
305950,20220225,1
305950,20220228,1
305950,20220301,1
305950,20220302,1
305950,20220303,1
305950,20220304,1
305641,20220126,1
305641,20220127,1
305641,20220128,1
305641,20220131,1
305641,20220201,1
305641,20220202,1
305641,20220203,1
305641,20220204,1
305641,20220207,1
305641,20220208,1
305641,20220209,1
305641,20220210,1
305641,20220211,1
305641,20220214,1
305641,20220215,1
305641,20220216,1
305641,20220217,1
305641,20220218,1
305641,20220222,1
305641,20220223,1
305641,20220224,1
305641,20220225,1
305641,20220228,1
305641,20220301,1
305641,20220302,1
305641,20220303,1
305641,20220304,1
303202,20220126,1
303202,20220127,1
303202,20220128,1
303202,20220131,1
303202,20220201,1
303202,20220202,1
303202,20220203,1
303202,20220204,1
303202,20220207,1
303202,20220208,1
303202,20220209,1
303202,20220210,1
303202,20220211,1
303202,20220214,1
303202,20220215,1
303202,20220216,1
303202,20220217,1
303202,20220218,1
303202,20220222,1
303202,20220223,1
303202,20220224,1
303202,20220225,1
303202,20220228,1
