stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
1062,Mary & Heath,48.3694,-89.28564,0,1062
1063,Mary & Brown,48.36941,-89.28186,0,1063
1065,Brown & Francis,48.36742,-89.28164,0,1065
1066,Brown & Frederica,48.36594,-89.28163,0,1066
1067,Frederica & Brown,48.36503,-89.28099,0,1067
1068,Frederica & Edward,48.36507,-89.27824,0,1068
1069,Frederica & 100s Block,48.36506,-89.27599,0,1069
1070,Ford & Frederica,48.36542,-89.27278,0,1070
1071,Ford & Francis,48.36754,-89.27277,0,1071
1073,Brock & 200s Block,48.3683,-89.26988,0,1073
1074,Brock & Tarbutt,48.36829,-89.26742,0,1074
1075,Brock & 300s Block,48.3683,-89.26401,0,1075
1076,Brock & Sprague,48.36829,-89.26222,0,1076
1077,Sprague & Brock,48.3688,-89.26134,0,1077
1079,Sprague & Empire,48.37147,-89.26135,0,1079
1080,Sprague & Walsh,48.37389,-89.26134,0,1080
1081,Walsh & Selkirk,48.37428,-89.25928,0,1081
1083,Franklin & Moodie,48.37582,-89.25656,0,1083
1084,Franklin & Isabella,48.37725,-89.25656,0,1084
1085,Franklin & Ridgeway,48.37906,-89.25656,0,1085
1086,Franklin & Arthur,48.38052,-89.25656,0,1086
1087,Franklin & Donald,48.38228,-89.25658,0,1087
1089,Victoria & Marks,48.38407,-89.25417,0,1089
1090,Vickers & Victoria,48.38359,-89.2512,0,1090
1091,Arthur & McKellar,48.3808,-89.2499,0,1091
1093,Simpson & Miles,48.38512,-89.24189,0,1093
1094,Simpson & Bethune,48.38699,-89.24036,0,1094
1095,Simpson & Dease,48.3885,-89.23908,0,1095
1096,Simpson & Finlayson,48.39,-89.23786,0,1096
1097,Simpson & Ogden,48.39189,-89.2363,0,1097
1098,Simpson & Rowand,48.39378,-89.23574,0,1098
1099,Simpson & Pacific,48.39513,-89.23683,0,1099
1100,Simpson & Atlantic,48.39607,-89.23757,0,1100
1101,Simpson & Southern,48.39733,-89.23859,0,1101
1102,Ft. Wm. Rd. & Isabel,48.40027,-89.24111,0,1102
1103,Intercity Shopping Centre,48.40349,-89.24306,0,1103
1104,Ft. Wm. Rd. & Intercity,48.40482,-89.24147,0,1104
1105,Ft. Wm. Rd. & Main,48.40574,-89.24107,0,1105
1106,Ft. Wm. Rd. & Mooney,48.40811,-89.2401,0,1106
1108,Ft. Wm. Rd. & Central,48.41368,-89.23756,0,1108
1112,Ft. Wm. Rd. & Spofford,48.42203,-89.23306,0,1112
1113,Ft. Wm. Rd. & Court,48.42442,-89.23308,0,1113
1114,Court & Wholesale Club,48.42612,-89.23199,0,1114
1115,Court & John,48.42798,-89.22994,0,1115
1116,Court & Cornwall,48.42978,-89.22806,0,1116
1117,Bay & Johnson,48.43053,-89.2268,0,1117
1118,Cumberland & Water,48.43125,-89.22308,0,1118
1119,Cumberland & Pearl,48.43266,-89.22154,0,1119
1120,Cumberland & Red River,48.4345,-89.21952,0,1120
1121,Waterfront Terminal,48.43579,-89.21709,0,1121
1122,Cumberland & Villa,48.43833,-89.21559,0,1122
1123,Cumberland & St. James,48.44138,-89.21187,0,1123
